<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.02.01	01:10:00	1.08151	1.08151	1.08143	1.08143	7	0	1
2024.02.01	01:11:00	1.08142	1.08142	1.08142	1.08142	1	0	1
2024.02.01	01:12:00	1.08141	1.08142	1.08138	1.08142	8	0	1
2024.02.01	01:13:00	1.08143	1.08143	1.08140	1.08142	8	0	1
2024.02.01	01:14:00	1.08141	1.08141	1.08140	1.08140	2	0	1
2024.02.01	01:15:00	1.08140	1.08140	1.08135	1.08138	8	0	1
2024.02.01	01:16:00	1.08138	1.08139	1.08138	1.08139	2	0	2
2024.02.01	01:17:00	1.08139	1.08139	1.08133	1.08133	7	0	0
2024.02.01	01:18:00	1.08133	1.08133	1.08126	1.08126	7	0	0
2024.02.01	01:19:00	1.08126	1.08130	1.08126	1.08130	5	0	1
2024.02.01	01:20:00	1.08130	1.08131	1.08127	1.08127	6	0	1
2024.02.01	01:21:00	1.08127	1.08127	1.08127	1.08127	1	0	0
2024.02.01	01:22:00	1.08127	1.08127	1.08109	1.08111	37	0	0
2024.02.01	01:23:00	1.08110	1.08110	1.08108	1.08108	3	0	1
2024.02.01	01:24:00	1.08108	1.08108	1.08103	1.08105	10	0	0
2024.02.01	01:25:00	1.08105	1.08115	1.08099	1.08099	32	0	0
2024.02.01	01:26:00	1.08099	1.08099	1.08097	1.08099	5	0	1
2024.02.01	01:27:00	1.08099	1.08100	1.08096	1.08097	9	0	0
2024.02.01	01:28:00	1.08097	1.08098	1.08096	1.08098	4	0	1
2024.02.01	01:29:00	1.08098	1.08098	1.08098	1.08098	1	0	3
2024.02.01	01:30:00	1.08098	1.08098	1.08096	1.08096	3	0	1
2024.02.01	01:31:00	1.08096	1.08096	1.08092	1.08092	7	0	0
2024.02.01	01:32:00	1.08092	1.08092	1.08091	1.08092	7	0	1
2024.02.01	01:33:00	1.08092	1.08095	1.08091	1.08093	8	0	0
2024.02.01	01:34:00	1.08092	1.08092	1.08089	1.08089	4	0	0
2024.02.01	01:35:00	1.08089	1.08094	1.08089	1.08094	6	0	1
2024.02.01	01:36:00	1.08094	1.08100	1.08094	1.08100	7	0	1
2024.02.01	01:37:00	1.08100	1.08109	1.08100	1.08108	13	0	0
2024.02.01	01:38:00	1.08107	1.08107	1.08106	1.08106	2	0	0
2024.02.01	01:39:00	1.08106	1.08106	1.08105	1.08106	3	0	0
2024.02.01	01:40:00	1.08106	1.08109	1.08106	1.08108	5	0	0
2024.02.01	01:41:00	1.08108	1.08108	1.08105	1.08105	6	0	0
2024.02.01	01:42:00	1.08104	1.08106	1.08103	1.08105	6	0	0
2024.02.01	01:43:00	1.08105	1.08105	1.08104	1.08104	4	0	0
2024.02.01	01:44:00	1.08104	1.08104	1.08103	1.08103	4	0	1
2024.02.01	01:45:00	1.08103	1.08106	1.08101	1.08106	10	0	0
2024.02.01	01:46:00	1.08106	1.08109	1.08103	1.08104	15	0	0
2024.02.01	01:47:00	1.08103	1.08104	1.08103	1.08103	5	0	1
2024.02.01	01:48:00	1.08102	1.08105	1.08102	1.08105	4	0	0
2024.02.01	01:49:00	1.08105	1.08105	1.08104	1.08104	4	0	0
2024.02.01	01:50:00	1.08105	1.08105	1.08100	1.08100	6	0	0
2024.02.01	01:51:00	1.08100	1.08100	1.08091	1.08091	10	0	0
2024.02.01	01:52:00	1.08091	1.08091	1.08086	1.08086	6	0	0
2024.02.01	01:53:00	1.08086	1.08090	1.08086	1.08086	9	0	0
2024.02.01	01:54:00	1.08086	1.08086	1.08077	1.08077	16	0	0
2024.02.01	01:55:00	1.08077	1.08077	1.08070	1.08070	8	0	2
2024.02.01	01:56:00	1.08069	1.08069	1.08037	1.08037	25	0	0
2024.02.01	01:57:00	1.08037	1.08041	1.08034	1.08034	13	0	0
2024.02.01	01:58:00	1.08034	1.08038	1.08033	1.08036	9	0	0
2024.02.01	01:59:00	1.08036	1.08040	1.08034	1.08040	12	0	1
2024.02.01	02:00:00	1.08040	1.08040	1.08033	1.08034	15	0	0
2024.02.01	02:01:00	1.08034	1.08038	1.08032	1.08037	12	0	0
2024.02.01	02:02:00	1.08036	1.08039	1.08033	1.08036	25	0	0
2024.02.01	02:03:00	1.08035	1.08047	1.08035	1.08047	17	0	0
2024.02.01	02:04:00	1.08047	1.08057	1.08047	1.08055	13	0	0
2024.02.01	02:05:00	1.08054	1.08064	1.08046	1.08056	34	0	0
2024.02.01	02:06:00	1.08056	1.08056	1.08033	1.08033	25	0	0
2024.02.01	02:07:00	1.08033	1.08036	1.08033	1.08034	14	0	0
2024.02.01	02:08:00	1.08033	1.08038	1.08029	1.08037	28	0	0
2024.02.01	02:09:00	1.08036	1.08040	1.08033	1.08033	30	0	0
2024.02.01	02:10:00	1.08031	1.08032	1.08024	1.08029	52	0	0
2024.02.01	02:11:00	1.08027	1.08031	1.08023	1.08024	54	0	0
2024.02.01	02:12:00	1.08024	1.08030	1.08023	1.08024	50	0	0
2024.02.01	02:13:00	1.08025	1.08026	1.08023	1.08025	32	0	0
2024.02.01	02:14:00	1.08024	1.08037	1.08024	1.08028	49	0	0
2024.02.01	02:15:00	1.08028	1.08029	1.08023	1.08024	23	0	0
2024.02.01	02:16:00	1.08024	1.08028	1.08018	1.08026	68	0	0
2024.02.01	02:17:00	1.08026	1.08047	1.08026	1.08047	57	0	0
2024.02.01	02:18:00	1.08048	1.08057	1.08039	1.08040	67	0	0
2024.02.01	02:19:00	1.08040	1.08045	1.08037	1.08040	68	0	0
2024.02.01	02:20:00	1.08039	1.08044	1.08039	1.08042	42	0	0
2024.02.01	02:21:00	1.08041	1.08065	1.08041	1.08061	56	0	0
2024.02.01	02:22:00	1.08062	1.08072	1.08059	1.08064	51	0	0
2024.02.01	02:23:00	1.08065	1.08068	1.08062	1.08066	56	0	0
2024.02.01	02:24:00	1.08066	1.08074	1.08064	1.08068	32	0	0
2024.02.01	02:25:00	1.08069	1.08084	1.08065	1.08081	49	0	0
2024.02.01	02:26:00	1.08080	1.08081	1.08075	1.08075	34	0	0
2024.02.01	02:27:00	1.08078	1.08084	1.08076	1.08080	28	0	0
2024.02.01	02:28:00	1.08079	1.08083	1.08075	1.08076	22	0	0
2024.02.01	02:29:00	1.08077	1.08099	1.08076	1.08098	48	0	0
2024.02.01	02:30:00	1.08097	1.08102	1.08094	1.08095	47	0	0
2024.02.01	02:31:00	1.08095	1.08103	1.08091	1.08103	32	0	0
2024.02.01	02:32:00	1.08103	1.08111	1.08101	1.08105	40	0	0
2024.02.01	02:33:00	1.08105	1.08105	1.08099	1.08100	42	0	0
2024.02.01	02:34:00	1.08099	1.08109	1.08096	1.08108	67	0	0
2024.02.01	02:35:00	1.08109	1.08120	1.08105	1.08106	57	0	0
2024.02.01	02:36:00	1.08105	1.08106	1.08100	1.08103	58	0	0
2024.02.01	02:37:00	1.08104	1.08116	1.08104	1.08115	86	0	0
2024.02.01	02:38:00	1.08115	1.08117	1.08103	1.08105	71	0	0
2024.02.01	02:39:00	1.08105	1.08116	1.08105	1.08116	50	0	0
2024.02.01	02:40:00	1.08115	1.08124	1.08111	1.08115	66	0	0
2024.02.01	02:41:00	1.08115	1.08123	1.08111	1.08121	48	0	0
2024.02.01	02:42:00	1.08121	1.08136	1.08116	1.08131	58	0	0
2024.02.01	02:43:00	1.08130	1.08133	1.08126	1.08129	62	0	0
2024.02.01	02:44:00	1.08128	1.08134	1.08125	1.08133	40	0	0
2024.02.01	02:45:00	1.08133	1.08139	1.08129	1.08136	33	0	0
2024.02.01	02:46:00	1.08135	1.08136	1.08126	1.08127	44	0	0
2024.02.01	02:47:00	1.08126	1.08130	1.08116	1.08116	15	0	0
2024.02.01	02:48:00	1.08117	1.08122	1.08116	1.08120	45	0	0
2024.02.01	02:49:00	1.08121	1.08125	1.08117	1.08120	56	0	0
2024.02.01	02:50:00	1.08120	1.08128	1.08117	1.08127	71	0	0
2024.02.01	02:51:00	1.08128	1.08138	1.08126	1.08136	38	0	0
2024.02.01	02:52:00	1.08136	1.08139	1.08132	1.08138	40	0	0
2024.02.01	02:53:00	1.08137	1.08137	1.08125	1.08133	74	0	0
2024.02.01	02:54:00	1.08132	1.08138	1.08131	1.08138	124	0	0
2024.02.01	02:55:00	1.08139	1.08145	1.08132	1.08132	70	0	0
2024.02.01	02:56:00	1.08131	1.08131	1.08117	1.08117	25	0	0
2024.02.01	02:57:00	1.08117	1.08117	1.08096	1.08096	43	0	0
2024.02.01	02:58:00	1.08096	1.08102	1.08092	1.08096	59	0	0
